#Time (uint32)[1],RtAcc (float32)[1],MotorPosition (int32)[1],EncoderPosition (uint32)[1]
3400000,-1728.775882,-655,65368
3405000,-1726.449584,-655,65370
3410000,-1728.572273,-654,65372
3415000,-1735.392189,-654,65374
3420000,-1746.923351,-654,65376
3425000,-1762.933969,-653,65378
3430000,-1782.942771,-653,65381
3435000,-1806.221199,-653,65384
3440000,-1831.806755,-653,65388
3445000,-1858.521366,-653,65391
3450000,-1884.999656,-653,65395
3455000,-1909.722709,-653,65399
3460000,-1931.056880,-653,65403
3465000,-1947.298240,-653,65407
3470000,-1956.721210,-653,65411
3475000,-1957.625389,-653,65417
3480000,-1948.388004,-653,65422
3485000,-1927.509212,-654,65427
3490000,-1893.660163,-654,65432
3495000,-1845.723533,-654,65437
3500000,-1782.829523,-655,65443
3505000,-1704.385757,-655,65448
3510000,-1610.098743,-656,65454
3515000,-1499.987983,-656,65460
3520000,-1374.390244,-657,65466
3525000,-1233.956694,-658,65472
3530000,-1079.638838,-658,65478
3535000,-912.667751,-659,65484
3540000,-734.524536,-660,65491
3545000,-546.903991,-660,65498
3550000,-351.672530,-661,65505
3555000,-150.820884,-662,65511
3560000,53.585882,-663,65517
3565000,259.460616,-664,65524
3570000,464.746093,-664,65531
3575000,667.465782,-665,2
3580000,865.771579,-666,9
3585000,1057.987570,-667,15
3590000,1242.647051,-667,21
3595000,1418.523788,-668,27
3600000,1584.655666,-669,34
3605000,1740.358257,-669,41
3610000,1885.231590,-670,47
3615000,2019.157171,-670,53
3620000,2142.284870,-671,58
3625000,2255.015134,-671,64
3630000,2357.969045,-672,70
3635000,2451.954841,-672,76
3640000,2537.928342,-672,82
3645000,2616.948604,-672,87
3650000,2690.129995,-672,91
3655000,2758.595705,-673,96
3660000,2823.430061,-673,101
3665000,2885.632038,-673,106
3670000,2946.073055,-673,111
3675000,3005.460977,-673,115
3680000,3064.307928,-673,119
3685000,3122.906923,-672,122
3690000,3181.315660,-672,126
3695000,3239.348649,-671,129
3700000,3296.579360,-671,133
3705000,3352.349996,-670,136
3710000,3405.789136,-669,138
3715000,3455.839872,-668,140
3720000,3501.292467,-667,142
3725000,3540.822982,-666,144
3730000,3573.039770,-665,145
3735000,3596.528768,-664,147
3740000,3609.905958,-662,148
3745000,3611.864566,-661,149
3750000,3601.224184,-659,149
3755000,3576.977252,-657,149
3760000,3538.328886,-656,149
3765000,3484.732866,-654,149
3770000,3415.920019,-652,149
3775000,3331.918001,-650,148
3780000,3233.064413,-648,147
3785000,3120.007753,-646,146
3790000,2993.702888,-644,144
3795000,2855.394172,-642,142
3800000,2706.591367,-639,139
3805000,2549.037456,-637,138
3810000,2384.669303,-634,136
3815000,2215.572595,-632,134
3820000,2043.928861,-629,131
3825000,1871.966552,-626,127
3830000,1701.902627,-624,123
3835000,1535.888576,-621,119
3840000,1375.956416,-618,116
3845000,1223.969221,-615,112
3850000,1081.574440,-612,109
3855000,950.164222,-609,105
3860000,830.842113,-564,27
3935000,724.398183,-562,23
3940000,631.292629,-559,17
3945000,551.647853,-556,12
3950000,485.249948,-553,8
3955000,431.559276,-550,2
3960000,389.729137,-547,65532
3965000,358.632588,-544,65525
3970000,336.895799,-541,65519
3975000,322.937822,-538,65514
3980000,315.014219,-535,65510
3985000,311.264395,-532,65504
3990000,309.760427,-529,65498
3995000,308.556199,-526,65491
4000000,305.735397,-522,65486
4005000,299.456901,-519,65481
4010000,287.996273,-516,65477
4015000,269.782400,-513,65472
4020000,243.428301,-510,65467
4025000,207.755136,-507,65461
4030000,161.809434,-504,65455
4035000,104.872715,-501,65451
4040000,36.464097,-497,65447
4045000,-43.664298,-494,65443
4050000,-135.538339,-491,65438
4055000,-238.978815,-488,65434
4060000,-353.623199,-485,65429
4065000,-478.951311,-482,65424
4070000,-614.313745,-478,65420
4075000,-758.962059,-475,65417
4080000,-912.078571,-472,65414
4085000,-1072.806000,-469,65411
4090000,-1240.274906,-466,65408
4095000,-1413.627147,-463,65405
4100000,-1592.036819,-460,65402
4105000,-1774.725198,-457,65399
4110000,-1960.970497,-454,65397
4115000,-2150.114059,-451,65395
4120000,-2341.557264,-449,65393
4125000,-2534.756422,-446,65392
4130000,-2729.211568,-443,65390
4135000,-2924.450683,-441,65389
4140000,-3120.008468,-438,65388
4145000,-3315.407514,-436,65387
4150000,-3510.133028,-433,65386
4155000,-3703.608274,-431,65386
4160000,-3895.173835,-429,65387
4165000,-4084.065437,-427,65387
4170000,-4269.396305,-425,65388
4175000,-4450.146675,-423,65389
4180000,-4625.150680,-421,65389
4185000,-4793.101787,-419,65390
4190000,-4952.551364,-418,65391
4195000,-5101.924419,-416,65393
4200000,-5239.537715,-415,65396
4205000,-5363.625049,-413,65400
4210000,-5472.367763,-413,65402
4215000,-5563.936233,-412,65405
4220000,-5636.529445,-411,65407
4225000,-5688.422679,-410,65410
4230000,-5718.011379,-410,65413
4235000,-5723.867416,-410,65417
4240000,-5704.781055,-409,65422
4245000,-5659.808635,-409,65427
4250000,-5588.313579,-409,65431
4255000,-5490.004539,-409,65435
4260000,-5364.961624,-409,65440
4265000,-5213.661193,-410,65444
4270000,-5036.983013,-410,65450
4275000,-4836.217403,-411,65456
4280000,-4613.054275,-412,65462
4285000,-4369.561672,-413,65468
4290000,-4108.164787,-414,65473
4295000,-3831.595230,-416,65479
4300000,-3542.854309,-417,65485
4305000,-3245.148181,-418,65492
4310000,-2941.827774,-420,65499
4315000,-2636.321306,-422,65506
4320000,-2332.060098,-423,65512
4325000,-2032.407522,-425,65518
4330000,-1740.584278,-427,65525
4335000,-1459.599733,-429,65532
4340000,-1192.184925,-431,4
4345000,-940.732860,-433,11
4350000,-707.247829,-435,17
4355000,-493.302154,-437,22
4360000,-300.005912,-439,29
4365000,-127.986598,-440,36
4370000,22.617816,-442,44
4375000,152.153801,-444,51
4380000,261.434602,-447,57
4385000,351.710534,-448,63
4390000,424.628448,-450,68
4395000,482.180786,-452,74
4400000,526.646423,-454,81
4405000,560.524845,-456,88
4410000,586.465072,-458,94
4415000,607.192087,-460,99
4420000,625.432443,-462,104
4425000,643.841600,-464,109
4430000,664.934492,-466,114
4435000,691.022253,-468,119
4440000,724.155759,-470,124
4445000,766.078853,-471,129
4450000,818.191337,-473,133
4455000,881.523799,-475,137
4460000,956.723690,-477,141
4465000,1044.054865,-478,145
4470000,1143.407106,-480,148
4475000,1254.319190,-482,152
4480000,1376.011967,-484,155
4485000,1507.429504,-485,158
4490000,1647.290468,-487,160
4495000,1794.142961,-488,163
4500000,1946.426010,-490,165
4505000,2102.531194,-491,167
4510000,2260.864973,-493,169
4515000,2419.907569,-494,170
4520000,2578.270196,-495,171
4525000,2734.741449,-496,172
4530000,2888.330459,-498,172
4535000,3038.296937,-499,172
4540000,3184.171438,-500,172
4545000,3325.766324,-501,171
4550000,3463.171005,-501,171
4555000,3596.738576,-502,171
4560000,3727.059125,-503,170
4565000,3854.923248,-503,168
4570000,3981.277275,-504,167
4575000,4107.166290,-504,164
4580000,4233.677864,-505,161
4585000,4361.874103,-505,159
4590000,4492.730140,-505,156
4595000,4627.063274,-505,153
4600000,4765.477180,-505,150
4605000,4908.298015,-505,147
4610000,5055.528640,-505,143
4615000,5206.809520,-504,139
4620000,5361.383914,-503,134
4625000,5518.085956,-502,129
4630000,5675.335407,-502,124
4635000,5831.148147,-500,119
4640000,5983.162403,-499,115
4645000,6128.677845,-498,109
4650000,6264.705181,-496,103
4655000,6388.032913,-495,97
4660000,6495.304107,-493,91
4665000,6583.093166,-491,84
4670000,6648.002624,-488,77
4675000,6686.751842,-486,71
4680000,6696.269989,-484,63
4685000,6673.794746,-481,55
4690000,6616.953372,-478,48
4695000,6523.846626,-475,41
4700000,6393.119335,-472,34
4705000,6224.015712,-468,26
4710000,6016.431331,-465,17
4715000,5770.930767,-461,8
